Series Name,Series Code,Region,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Greenland,GRL,65.06829268,66.10073171,71.57341463,71.98560976,71.97731707,71.82512195,71.64121951,71.88658537,72.04365854,71.63682927,71.14756098,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Grenada,GRD,70.683,72.783,75.116,74.985,75.013,74.762,74.765,74.808,74.863,74.924,74.936,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Guam,GUM,72.473,74.417,76.72,76.749,76.616,76.877,77.155,77.439,77.717,76.612,76.656,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Guatemala,GTM,62.473,67.446,71.728,71.964,72.103,72.355,72.551,72.726,73.129,71.797,69.237,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Guinea,GIN,47.004,52.479,57.791,57.886,58.134,58.763,59.109,59.349,59.72,59.327,58.892,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Guinea-Bissau,GNB,47.084,50.121,58.232,58.61,59.128,59.674,60.066,60.502,60.882,59.999,59.652,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South America,Guyana,GUY,62.415,64.483,67.473,67.882,68.201,68.384,68.667,68.896,69.124,68.486,65.673,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Haiti,HTI,52.975,58.365,62.605,62.987,63.237,63.392,63.854,64.019,64.255,64.052,63.192,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Honduras,HND,65.243,68.662,71.963,72.259,72.487,72.588,72.692,72.814,72.881,71.462,70.123,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,"Hong Kong SAR, China",HKG,77.3804878,80.87804878,83.83170732,83.9804878,84.27804878,84.22682927,84.6804878,84.93414634,85.1804878,85.49756098,85.49268293,..
